site,longitude,latitude,elevation ,X,Y
Cascade,-119.306258,37.989774,3147,976235.541155943,13802435.7694218
Elizabeth,-119.36991,37.845185,2897,956555.897008975,13750253.7492776
Gardisky,-119.251506,37.956277,3206,991715.818943761,13789853.5191641
Granite 1,-119.2758264,37.9217949,3167,984398.221494394,13777469.6733244
Granite 2,-119.278429,37.926453,3178,983689.871820348,13779183.9058363
Greenstone,-119.290339,37.979647,3092,980731.88305565,13798635.3140474
Helen,-119.228732,37.830661,3337,997188.786344996,13743961.3887385
Gaylor 1,-119.2688475,37.9126276,3150,986329.958430306,13774083.0173757
May ,-119.493076,37.847477,2845,921017.884045854,13752015.147762
Spillway ,-119.232442,37.841521,3186,996212.069862354,13747940.8462449
Sunrise 1,-119.452183,37.804151,2801,932411.360177016,13735927.7112771
Sunrise 3,-119.443259,37.806216,2882,935007.753059279,13736611.991857
Gaylor 2,-119.2673837,37.9226947,3204,986843.198300667,13777737.9130995
Wasco ,-119.297916,37.985032,3141,978595.94593794,13800649.7898876
Lukens,-119.6161,37.85989,2515,885627.699351,13757506.6617362